"district_id","district_name","added_date","status","elect_status"
"1","KASARGODE","2015-09-12","0","0"
"2","KANNUR","2015-09-12","0","0"
"3","WAYANAD","2015-09-12","0","0"
"4","KOZHIKODE NORTH","2015-09-12","0","0"
"5","KOZHIKODE SOUTH","2015-09-12","0","0"
"6","MALAPPURAM EAST","2015-09-12","0","0"
"7","MALAPPURAM WEST","2015-09-12","0","0"
"8","PALAKKAD","2015-09-12","0","0"
"9","THRISSUR","2015-09-12","0","0"
"10","ERNAKULAM","2015-09-12","0","0"
"11","IDUKKI","2015-09-12","0","0"
"12","ALAPPUZHA","2015-09-12","0","0"
"13","KOTTAYAM","2015-09-12","0","0"
"14","PATHANAMTHITTA","2015-09-12","0","0"
"15","KOLLAM","2015-09-12","0","0"
"16","THIRUVANANTHAPURAM","2015-09-12","0","0"
"17","KARNATAKA","2015-09-14","0","0"
"18","TAMILNADU","2015-09-14","0","0"
"19","OTHER STATES","2015-09-14","0","0"
"21","OUT OF COUNTRY","2015-09-24","0","0"
